paramID,flag,periodLen,steps
529,periodic,168.0000,6048
530,periodic,168.0000,12768
531,periodic,168.0000,18144
532,periodic,168.0000,5376
533,periodic,168.0000,5376
534,periodic,168.0000,18816
535,periodic,168.0000,25536
536,periodic,168.0000,9744
537,periodic,168.0000,23184
538,periodic,168.0000,42336
539,periodic,168.0000,5040
540,periodic,168.0000,5376
541,periodic,168.0000,5040
542,periodic,168.0000,10752
543,periodic,168.0000,9072
544,periodic,168.0000,5040
545,periodic,168.0000,25536
546,periodic,168.0000,5040
547,periodic,168.0000,8736
548,periodic,168.0000,7056
549,periodic,168.0000,6048
550,periodic,168.0000,5040
551,periodic,168.0000,5376
552,periodic,168.0000,12432
553,periodic,168.0000,5376
554,periodic,168.0000,5040
555,periodic,168.0000,13776
556,periodic,168.0000,9744
557,periodic,168.0000,5040
558,periodic,168.0000,58128
559,periodic,168.0000,6384
560,periodic,168.0000,21504
561,periodic,168.0000,5040
562,periodic,168.0000,9072
563,periodic,168.0000,10080
564,periodic,168.0000,22512
565,periodic,168.0000,18144
566,periodic,168.0000,37632
567,periodic,168.0000,8064
568,periodic,168.0000,5040
569,periodic,168.0000,8400
570,periodic,168.0000,9072
571,periodic,168.0000,59136
572,periodic,168.0000,8400
573,periodic,168.0000,35952
574,periodic,168.0000,22176
575,periodic,168.0000,5040
576,periodic,168.0000,38976
577,periodic,168.0000,30240
578,periodic,168.0000,5040
579,periodic,168.0000,25536
580,periodic,168.0000,5040
581,periodic,168.0000,5040
582,periodic,168.0000,5040
583,periodic,168.0000,5712
584,periodic,168.0000,5040
585,periodic,168.0000,5040
586,periodic,168.0000,12432
587,periodic,168.0000,9072
588,periodic,168.0000,11088
589,periodic,168.0000,6720
590,periodic,168.0000,8400
591,periodic,168.0000,5712
592,periodic,168.0000,5040
593,periodic,168.0000,9072
594,periodic,168.0000,8736
595,periodic,168.0000,7392
596,periodic,168.0000,8736
597,periodic,168.0000,5040
598,periodic,168.0000,9744
599,periodic,168.0000,5040
600,periodic,168.0000,10416
601,periodic,168.0000,5712
602,periodic,168.0000,14448
603,periodic,168.0000,26880
604,periodic,168.0000,5712
605,periodic,168.0000,5040
606,periodic,168.0000,5712
607,periodic,168.0000,5712
608,periodic,168.0000,5040
609,periodic,168.0000,18816
610,periodic,168.0000,26880
611,periodic,168.0000,5040
612,periodic,168.0000,10752
613,periodic,168.0000,5040
614,periodic,168.0000,9072
615,periodic,168.0000,83328
616,periodic,168.0000,14448
617,periodic,168.0000,5040
618,periodic,168.0000,5040
619,periodic,168.0000,5040
620,periodic,168.0000,5040
621,periodic,168.0000,5040
622,periodic,168.0000,5040
623,periodic,168.0000,26544
624,periodic,168.0000,9744
625,periodic,168.0000,5376
626,periodic,168.0000,44352
627,periodic,168.0000,10080
628,periodic,168.0000,5712
629,periodic,168.0000,5040
630,periodic,168.0000,5040
631,periodic,168.0000,6048
632,periodic,168.0000,9072
633,periodic,168.0000,23856
634,periodic,168.0000,11424
635,periodic,168.0000,5040
636,periodic,168.0000,5040
637,periodic,168.0000,5040
638,periodic,168.0000,49392
639,periodic,168.0000,16128
640,periodic,168.0000,5040
641,periodic,168.0000,6720
642,periodic,168.0000,5712
643,periodic,168.0000,5040
644,periodic,168.0000,5376
645,periodic,168.0000,6384
646,periodic,168.0000,5040
647,periodic,168.0000,56448
648,periodic,168.0000,12096
649,periodic,168.0000,30576
650,periodic,168.0000,10416
651,periodic,168.0000,5040
652,periodic,168.0000,29568
653,periodic,168.0000,26880
654,periodic,168.0000,25872
655,periodic,168.0000,12096
656,periodic,168.0000,5040
657,periodic,168.0000,5040
658,periodic,168.0000,5376
659,periodic,168.0000,5040
660,periodic,168.0000,25872
661,periodic,168.0000,6048
662,periodic,168.0000,118272
663,periodic,168.0000,50400
664,periodic,168.0000,16128
665,periodic,168.0000,9072
666,periodic,168.0000,24528
667,periodic,168.0000,5040
668,periodic,168.0000,12768
669,periodic,168.0000,14112
670,periodic,168.0000,5040
671,periodic,168.0000,53424
672,periodic,168.0000,8400
673,periodic,168.0000,19824
674,periodic,168.0000,5040
675,periodic,168.0000,5040
676,periodic,168.0000,7056
677,periodic,168.0000,5040
678,periodic,168.0000,13440
679,periodic,168.0000,35616
680,periodic,168.0000,21504
681,periodic,168.0000,21504
682,periodic,168.0000,9744
683,periodic,168.0000,11424
684,periodic,168.0000,58464
685,periodic,168.0000,6384
686,periodic,168.0000,5712
687,periodic,168.0000,37968
688,periodic,168.0000,12432
689,periodic,168.0000,7392
690,periodic,168.0000,31920
691,periodic,168.0000,24192
692,periodic,168.0000,5040
693,periodic,168.0000,25536
694,periodic,168.0000,24528
695,periodic,168.0000,6048
696,periodic,168.0000,5712
697,periodic,168.0000,10080
698,periodic,168.0000,6048
699,periodic,168.0000,14448
700,periodic,168.0000,5040
701,periodic,168.0000,5040
702,periodic,168.0000,6720
703,periodic,168.0000,9744
704,periodic,168.0000,68208
705,periodic,168.0000,19488
706,periodic,168.0000,6048
707,periodic,168.0000,11088
708,periodic,168.0000,6384
709,periodic,168.0000,27216
710,periodic,168.0000,5712
711,periodic,168.0000,18816
712,periodic,168.0000,11088
713,periodic,168.0000,35952
714,periodic,168.0000,17136
715,periodic,168.0000,5040
716,periodic,168.0000,25872
717,periodic,168.0000,5040
718,periodic,168.0000,5376
719,periodic,168.0000,5040
720,periodic,168.0000,5040
721,periodic,168.0000,13440
722,periodic,168.0000,22848
723,periodic,168.0000,5712
724,periodic,168.0000,5040
725,periodic,168.0000,15456
726,periodic,168.0000,50736
727,periodic,168.0000,5040
728,periodic,168.0000,5040
729,periodic,168.0000,12432
730,periodic,168.0000,14112
731,periodic,168.0000,25536
732,periodic,168.0000,49056
733,periodic,168.0000,10752
734,periodic,168.0000,5040
735,periodic,168.0000,5040
736,periodic,168.0000,11088
