paramID,flag,steps
350,periodic-1T,114576
351,periodic-1T,11760
352,periodic-1T,10416
353,periodic-1T,11760
354,periodic-1T,13440
355,periodic-1T,37968
356,periodic-1T,10080
357,periodic-1T,98448
358,periodic-1T,14784
359,periodic-1T,10080
360,periodic-1T,10416
361,periodic-1T,83328
362,periodic-1T,10416
363,periodic-1T,10080
364,periodic-1T,48720
365,periodic-1T,10416
366,periodic-1T,47712
367,periodic-1T,55104
368,periodic-1T,48384
369,periodic-1T,10080
370,periodic-1T,68544
371,periodic-1T,21504
372,periodic-1T,17472
373,periodic-1T,33600
374,periodic-1T,21168
375,periodic-1T,33936
376,periodic-1T,11088
377,periodic-1T,10416
378,periodic-1T,20496
379,periodic-1T,10416
380,periodic-1T,10752
381,periodic-1T,38640
382,periodic-1T,10080
383,periodic-1T,10080
384,periodic-1T,10080
385,periodic-1T,11088
386,periodic-1T,10080
387,periodic-1T,34944
388,periodic-1T,10416
389,periodic-1T,10752
390,periodic-1T,10080
391,periodic-1T,28560
392,periodic-1T,46032
393,periodic-1T,10416
394,periodic-1T,54096
395,periodic-1T,30576
396,periodic-1T,10416
397,periodic-1T,10416
398,periodic-1T,10416
399,periodic-1T,10080
400,periodic-1T,10416
401,periodic-1T,13776
402,periodic-1T,10416
403,periodic-1T,10080
404,periodic-1T,10080
405,periodic-1T,10416
406,periodic-1T,131376
407,periodic-1T,10416
408,periodic-1T,10416
409,periodic-1T,10416
410,periodic-1T,12768
411,periodic-1T,148512
412,periodic-1T,10080
413,periodic-1T,104496
414,periodic-1T,10416
415,periodic-1T,62160
416,periodic-1T,23184
417,periodic-1T,33600
418,periodic-1T,10080
419,periodic-1T,47376
420,periodic-1T,13776
421,periodic-1T,10416
422,periodic-1T,14112
423,periodic-1T,10080
424,periodic-1T,10080
425,periodic-1T,10416
426,periodic-1T,10416
427,periodic-1T,10080
428,periodic-1T,27216
429,periodic-1T,10416
430,periodic-1T,10416
431,periodic-1T,10416
432,periodic-1T,14448
433,periodic-1T,10080
434,periodic-1T,10752
435,periodic-1T,10080
436,periodic-1T,10416
437,periodic-1T,70896
438,periodic-1T,55104
439,periodic-1T,10752
440,periodic-1T,18480
441,periodic-1T,10416
442,periodic-1T,81648
443,periodic-1T,10416
444,periodic-1T,10416
445,periodic-1T,10080
446,periodic-1T,33600
447,periodic-1T,10752
448,periodic-1T,10416
449,periodic-1T,24864
450,periodic-1T,37296
451,periodic-1T,10416
452,periodic-1T,10416
453,periodic-1T,37968
454,periodic-1T,10416
455,periodic-1T,10416
456,periodic-1T,10752
457,periodic-1T,10416
458,periodic-1T,10080
459,periodic-1T,15120
460,periodic-1T,54096
461,periodic-1T,84000
462,periodic-1T,44016
463,periodic-1T,24528
464,periodic-1T,10416
465,periodic-1T,12432
466,periodic-1T,14448
467,periodic-1T,10416
468,periodic-1T,10752
469,periodic-1T,64176
